47.67139458656311   : <-Dash    : 10 84 01 | 01
47.74467635154724   : ->FOC     : 20 02 02 | 05 09
47.776801109313965  : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
47.872690200805664  : ->BMS     : 31 02 02 | 2d 0f
47.904446601867676  : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 22
48.01050615310669   : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
48.04242753982544   : <-Dash    : 10 84 01 | 01
48.12700057029724   : ->FOC     : 20 02 02 | 05 09
48.15882635116577   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
48.24329423904419   : ->unknown : 70 02 02 | 20 06
48.39281487464905   : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
48.424729347229004  : <-Dash    : 10 84 01 | 01
48.50451731681824   : ->FOC     : 20 02 02 | 05 09
48.53562021255493   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
48.629727602005005  : ->BMS     : 31 02 02 | 3c 28
48.66100788116455   : <-BMS     : 31 82 28 | 0e a0 0e a1 0e a0 0e a3 0e a3 0e a0 0e a4 0e a4 0e a4 0e 93 0e a4 0e a6 0e a6 00 00 00 00 00 00 00 00 00 00 00 00 00 00
48.766661643981934  : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
48.79838728904724   : <-Dash    : 10 84 01 | 01
48.88800048828125   : ->FOC     : 20 02 02 | 05 09
48.90919613838196   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 08 00 00 02
49.005462646484375  : ->BMS     : 31 02 02 | 02 2b
49.048147201538086  : <-BMS     : 31 82 2b | 14 04 55 55 55 55 01 42 55 4d 39 4c 36 32 53 34 33 35 30 30 35 39 38 2a 29 1d 21 26 10 23 eb 46 3c 37 32 ec f1 01 30 3a 98 01 f2
49.1441764831543    : ->Dash    : 10 04 13 | 06 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
49.17600417137146   : <-Dash    : 10 84 01 | 01
49.26110911369324   : ->FOC     : 20 02 02 | 05 09
49.29329252243042   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 00 00 00 02
49.378252029418945  : ->unknown : 70 02 02 | 20 06
49.526947021484375  : ->Dash    : 10 04 13 | 02 20 01 00 8b 3c 00 00 00 00 47 06 cc cc 00 00 00 00 00
49.54791569709778   : <-Dash    : 10 84 01 | 01
49.6445631980896    : ->FOC     : 20 02 02 | 05 09
49.66554927825928   : <-FOC     : 20 82 0e | 30 26 3c 01 00 19 00 00 00 00 00 00 00 02
49.76045107841492   : ->BMS     : 31 02 02 | 2d 0f
49.79176473617554   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 22
