43.14884328842163   : ->FOC     : 20 02 02 | 05 08
43.15942311286926   : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
43.25628876686096   : ->BMS     : 31 02 02 | 2d 0f
43.28797173500061   : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1e 1e 1e 1d
43.39424920082092   : ->Dash    : 10 04 0f | 06 20 02 00 2a 53 00 00 00 00 64 00 cc cc 00
43.41609597206116   : <-Dash    : 10 84 01 | 01
43.5115807056427    : ->FOC     : 20 02 02 | 05 08
43.533127546310425  : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 00 00
43.63442873954773   : ->unknown : 70 02 02 | 20 06
43.754048347473145  : ->Dash    : 10 04 0f | 02 20 02 00 2a 53 00 00 00 00 64 00 cc cc 00
43.79677128791809   : <-Dash    : 10 84 01 | 01
43.87218880653381   : ->FOC     : 20 02 02 | 05 08
43.893608808517456  : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 00 00
43.991714000701904  : ->BMS     : 31 02 02 | 3c 28
44.0242063999176    : <-BMS     : 31 82 28 | 10 0a 10 0d 10 0a 10 0c 10 0f 10 09 10 0f 10 0d 10 0d 0f f8 10 0f 10 12 10 11 00 00 00 00 00 00 00 00 00 00 00 00 00 00
44.12006855010986   : ->Dash    : 10 04 0f | 02 20 02 00 2a 53 00 00 00 00 64 00 cc cc 00
44.14489793777466   : <-Dash    : 10 84 01 | 01
44.23882865905762   : ->FOC     : 20 02 02 | 05 08
44.26120924949646   : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 00 00
44.35130023956299   : ->BMS     : 31 02 02 | 02 2b
44.3936083316803    : <-BMS     : 31 82 2b | 14 04 55 55 55 55 01 42 55 4d 39 4c 36 32 53 34 33 35 30 30 35 39 38 2a 29 1d 21 26 10 23 eb 46 3c 37 32 ec f1 01 30 3a 98 01 f6
44.481521129608154  : ->Dash    : 10 04 0f | 02 20 02 00 2a 53 00 00 00 00 64 00 cc cc 00
44.53008198738098   : <-Dash    : 10 84 01 | 01
44.59924626350403   : ->FOC     : 20 02 02 | 05 08
