26.88496160507202   : ->BMS     : 31 02 02 | 2d 0f
27.017295598983765  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
27.038776636123657  : <-Dash    : 10 84 01 | 01
27.071004390716553  : ->FOC     : 20 01 01 | 03
27.10290265083313   : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
27.123886346817017  : ->FOC     : 20 05 02 | 1c 86
27.237982988357544  : ->BMS     : 31 02 02 | 2d 0f
27.375277996063232  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
27.396746158599854  : <-Dash    : 10 84 01 | 01
27.417988777160645  : ->FOC     : 20 01 01 | 03
27.449841022491455  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
27.48131251335144   : ->FOC     : 20 05 02 | 1c 86
27.597400665283203  : ->BMS     : 31 02 02 | 2d 0f
27.729984760284424  : ->Dash    : 10 04 0f | 80 00 00 00 01 00 00 00 00 00 33 00 00 01 be
27.75157618522644   : <-Dash    : 10 84 01 | 01
27.772974014282227  : ->FOC     : 20 01 01 | 03
27.810425519943237  : <-FOC     : 20 81 10 | 4d 55 31 33 34 38 32 42 34 32 35 31 30 39 37 31
27.83194923400879   : ->FOC     : 20 05 02 | 1c 86
27.94754457473755   : ->BMS     : 31 02 02 | 2d 0f
