30.4516179561615    : ->FOC     : 20 01 01 | 03
43.91845488548279   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
43.99190306663513   : ->FOC     : 20 02 02 | 05 08
44.01318669319153   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
44.108540296554565  : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
44.11906051635742   : <-Dash    : 10 84 01 | ce
44.19312047958374   : ->BMS     : 31 02 02 | 2d 0f
44.22507882118225   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
44.287899017333984  : ->FOC     : 20 02 02 | 05 08
44.31939649581909   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
44.403470039367676  : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
44.41423177719116   : <-Dash    : 10 84 01 | ce
44.488171100616455  : ->BMS     : 31 02 02 | 2d 0f
44.519387006759644  : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
44.59321856498718   : ->FOC     : 20 02 02 | 05 08
44.61436057090759   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 00 00
44.70890164375305   : ->Dash    : 10 04 0f | 02 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
44.719542026519775  : <-Dash    : 10 84 01 | ce
44.79488754272461   : ->BMS     : 31 02 02 | 2d 0f
44.8271484375       : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
44.89099097251892   : ->FOC     : 20 02 02 | 05 08
44.92279267311096   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 00 00
45.008901596069336  : ->Dash    : 10 04 0f | 02 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
45.041438817977905  : <-Dash    : 10 84 01 | ce
45.094953775405884  : ->BMS     : 31 02 02 | 2d 0f
45.12694001197815   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
45.191020250320435  : ->FOC     : 20 02 02 | 05 08
45.22278428077698   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 00 00
45.309836864471436  : ->Dash    : 10 04 0f | 02 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
45.32078194618225   : <-Dash    : 10 84 01 | ce
45.39407682418823   : ->BMS     : 31 02 02 | 2d 0f
45.4259352684021    : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
45.49929618835449   : ->FOC     : 20 02 02 | 05 08
45.52051877975464   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 00 00
45.6160249710083    : ->Dash    : 10 04 0f | 02 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
45.62685251235962   : <-Dash    : 10 84 01 | ce
45.700472593307495  : ->BMS     : 31 02 02 | 2d 0f
45.721598386764526  : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
45.795045614242554  : ->FOC     : 20 02 02 | 05 08
45.82734560966492   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 00 00
45.913013219833374  : ->Dash    : 10 04 0f | 02 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
45.92390155792236   : <-Dash    : 10 84 01 | ce
45.99822187423706   : ->BMS     : 31 02 02 | 2d 0f
46.03002381324768   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
46.093199729919434  : ->FOC     : 20 02 02 | 05 08
46.125465631484985  : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
46.211198806762695  : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
46.2217333316803    : <-Dash    : 10 84 01 | ce
46.29846549034119   : ->BMS     : 31 02 02 | 2d 0f
46.33015036582947   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
46.395472049713135  : ->FOC     : 20 02 02 | 05 08
46.42827749252319   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
46.51318717002869   : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
46.52831768989563   : <-Dash    : 10 84 01 | ce
46.60236573219299   : ->BMS     : 31 02 02 | 2d 0f
46.62393307685852   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
46.69895339012146   : ->FOC     : 20 02 02 | 05 08
46.72027611732483   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
46.81644821166992   : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
46.827555894851685  : <-Dash    : 10 84 01 | ce
46.90201020240784   : ->BMS     : 31 02 02 | 2d 0f
46.93449354171753   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
46.99802899360657   : ->FOC     : 20 02 02 | 05 08
47.030035734176636  : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
47.114580154418945  : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
47.12602877616882   : <-Dash    : 10 84 01 | ce
47.20221757888794   : ->BMS     : 31 02 02 | 2d 0f
47.23455023765564   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
47.30057907104492   : ->FOC     : 20 02 02 | 05 08
47.32202482223511   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
47.41655158996582   : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
47.427375078201294  : <-Dash    : 10 84 01 | ce
47.50115966796875   : ->BMS     : 31 02 02 | 2d 0f
47.53210139274597   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
47.60801124572754   : ->FOC     : 20 02 02 | 05 08
47.62926125526428   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 08 00
47.7148060798645    : ->Dash    : 10 04 0f | 06 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
47.725741147994995  : <-Dash    : 10 84 01 | ce
47.801214933395386  : ->BMS     : 31 02 02 | 2d 0f
47.833165407180786  : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
47.90804100036621   : ->FOC     : 20 02 02 | 05 08
47.93276929855347   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 00 00
48.01755213737488   : ->Dash    : 10 04 0f | 02 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
48.02843379974365   : <-Dash    : 10 84 01 | ce
48.102317094802856  : ->BMS     : 31 02 02 | 2d 0f
48.13433265686035   : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
48.19958710670471   : ->FOC     : 20 02 02 | 05 08
48.23285889625549   : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 00 00
48.3212034702301    : ->Dash    : 10 04 0f | 02 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
48.33196425437927   : <-Dash    : 10 84 01 | ce
48.40549898147583   : ->BMS     : 31 02 02 | 2d 0f
48.437376499176025  : <-BMS     : 31 82 0f | 01 e6 00 00 00 03 47 00 01 06 23 23 23 23 23
48.500290870666504  : ->FOC     : 20 02 02 | 05 08
48.531994581222534  : <-FOC     : 20 82 0c | 30 26 3c 01 00 21 00 00 00 00 00 00
48.61627507209778   : ->Dash    : 10 04 0f | 02 00 01 00 1e 40 00 00 00 00 47 06 cc cc 00
48.62691903114319   : <-Dash    : 10 84 01 | ce
